sid,hispanic,ethnicity,gender,age
02800002,yes,asian,male,5.45
02750002,no,mixed,female,5.34
02450001,no,mixed,male,4.78
02750001,no,white,male,5.35
02410001,no,asian,female,4.7
02740001,no,asian,female,5.32
02390001,no,mixed,male,4.64
01720001,no,white,male,3.41
02980001,no,mixed,female,5.78
02100001,no,white,male,4.1
01480001,no,asian,female,2.96
02490001,no,white,female,4.82
02620001,no,white,female,5.09
02140001,no,white,male,4.22
02550001,no,black,female,4.97
01590001,no,mixed,male,3.17
01990001,no,mixed,male,3.93
01740001,no,mixed,female,3.4
01750001,no,white,male,3.41
02730001,no,white,female,5.3
01970002,no,white,female,3.84
02370001,no,mixed,male,4.6
01640001,no,white,female,3.22
02800001,yes,other,male,5.5
02670001,no,asian,male,5.19
02950001,no,black,female,5.74
02650001,no,white,female,5.14
01620001,no,mixed,male,3.16
01560001,no,white,male,3.06
02270001,no,mixed,male,4.41
01970001,no,mixed,female,3.85
02580001,no,asian,female,5.01
02430001,no,asian,female,4.72
03020002,no,mixed,male,5.86
