file,utterance_no,start_time,end_time,text,speaker,context,pid,vid,sid,hispanic,ethnicity,gender,age,age_group,s_length
01480001-49,0,0,5,"All right, [name], your numbers are 141.",radult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,1,5,7,One. Thank you.,radult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,2,7,8,"Hi, friend.",radult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,3,8,10,"Hi, how do you do it?",ochild,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,4,10,13,So we're making some movies with our ladybugs.,radult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,5,13,15,You play them.,ochild,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,6,15,17,"Oh, come home!",radult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,7,17,18,"Oh, come home! Oh,",radult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,8,18,20,"Oh, great.",ochild,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,9,20,25,"Oh, what's over there? Oh, what's your name?",tadult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,10,25,26,I want to make a,ochild,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,11,26,28,great. Do you want to hear him?,tadult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,12,28,30,"And the other for the last year,",tadult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,13,30,44,or two Is that your tape? Is that your tape?,kchild,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,14,44,45,I can.,ochild,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,15,45,49,How can you open it?,ochild,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,16,49,50,How can you open it?,ochild,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,17,50,54,You want me to open it? I can. You want to make a little.,tadult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,18,54,55,Here you guys.,tadult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
01480001-49,19,55,65,Here you guys. That's little piece of the little pieces here.,tadult,indoor_crafts,01480001,1,49,no,asian,female,2.96,3,228
