pid,sid,file,vid,start_time,end_time,text,manual_transcript,notes,age,speaker
01480001,49,01480001-49,1,110,114.72,I want to show me some sticks by the sand area.,Do you want to show me some sticks by the sand area.,NA,2.96,radult
01480001,49,01480001-49,1,114.72,117.12,How do you have a great dog to hear her dress?,[name] you did a great job picking out her dress,NA,2.96,radult
01480001,49,01480001-49,1,117.12,118.12,It's so pretty.,It's so pretty.,NA,2.96,radult
01480001,49,01480001-49,1,118.12,119.12,Nice.,Nice.,NA,2.96,radult
01480001,49,01480001-49,1,119.12,120.12,You need everything.,You need everything.,NA,2.96,radult
01480001,49,01480001-49,1,120.12,123,I guess what you do? I love you.,I guess what you do? I love it,NA,2.96,radult
01480001,49,01480001-49,1,123,125,"Oh, okay, let me help you all.","Oh, okay, let me help you [name]",NA,2.96,radult
01480001,49,01480001-49,1,125,127,"Do you come on, right?",Good try,NA,2.96,tadult
01480001,49,01480001-49,1,127,128,"Yeah, I'm going to take it off.","Yeah, I'm going to take it off.",NA,2.96,radult
01480001,49,01480001-49,1,128,130,Are you feeling cool?,Are you feeling cool?,NA,2.96,radult
01480001,49,01480001-49,1,130,143,"Here you go. Okay, okay. Do you go peeve? Go pee?","Here you go. Okay, okay. I need to go Pee. Go pee?",NA,2.96,ochild
01480001,49,01480001-49,1,143,145,I'll hold this piece.,I'll hold this while you go pee,NA,2.96,tadult
01480001,50,01480001-50,1,336.88,341.04,Olivia or no okay hey Eliza could you give one or two two Olivia would you,Olivia or no okay hey Eliza could you give one or two two Olivia would you,NA,2.96,tadult
01480001,50,01480001-50,1,341.04,345.84,give her one and two pieces in here Would you give her one maybe?,give her one and two pieces in here Would you give her one maybe?,NA,2.96,tadult
01480001,50,01480001-50,1,345.84,346.84,There you go.,There you go.,NA,2.96,tadult
01480001,50,01480001-50,1,346.84,348.24,There's Olivia right there.,There's Olivia right there.,NA,2.96,tadult
01480001,50,01480001-50,1,348.24,349.84,"Sorry, Olivia.","Sorry, Olivia.",NA,2.96,tadult
01480001,50,01480001-50,1,349.84,351.16,"Her sister's name is Olivia, right?","Her sister's name is Olivia, right?",NA,2.96,tadult
01480001,50,01480001-50,1,351.16,351.76,So it's confusing.,So it's confusing.,NA,2.96,tadult
01480001,50,01480001-50,1,351.76,369,"When I say Olivia, she thinks it for her sister. Let's go first.","When I say Olivia, she thinks it for her sister. Let's go first.",NA,2.96,tadult
01480001,50,01480001-50,1,363,370,Now they're both behind.,Now they're both behind.,NA,2.96,kchild
01480001,50,01480001-50,1,372,376.64,Now they're both behind a shed now. They're both behind a shed now. They're both behind a shed now. They are. You can...,Now they're both behind a shed now. They're both behind a shed now. They're both behind a shed now. They are. You can...,NA,2.96,kchild
01480001,50,01480001-50,2,1028,1031,and I say that everybody in the sandbox.,and I say that everybody in the sandbox.,NA,2.96,ochild
01480001,50,01480001-50,2,1031,1037,"Oh, that's so nice that you're going to share the cake. Hold on, don't move the house.","Oh, that's so nice that you're going to share the cake. Hold on, don't move the hose",NA,2.96,tadult
01480001,50,01480001-50,2,1037,1038,The house.,the hose,NA,2.96,tadult
01480001,50,01480001-50,2,1038,1039,This is a little bit.,This is a little bit.,NA,2.96,tadult
01480001,50,01480001-50,2,1039,1046,It's going to be home.,It's going to be home.,NA,2.96,ochild
01480001,50,01480001-50,2,1050,1056,"Hi, [name]. Yum","Hi, [name]. Yum.",NA,2.96,ochild
01480001,50,01480001-50,2,1050,1056,They can't kill the chips?,Are there two pitchers?,NA,2.96,tadult
01480001,50,01480001-50,2,1056,1058,There you can just.,There you can just.,NA,2.96,tadult
01480001,50,01480001-50,2,1058,1062,"If you need water for your cooking, there's some scoopers.","If you need water for your cooking, there's some scoopers.",NA,2.96,tadult
01480001,50,01480001-50,3,1698,1735,"the lucky sand over there. There's lucky sand over there. Luckily, yuckoo fluck. Food! Okay, I was full of waterizer.","There's yucky sand over there. yuckoo fluck. Spoon! Okay, I was full of water Eliza",proper name,2.96,kchild
01480001,50,01480001-50,3,1735,1738,Strippin.,Dripping,NA,2.96,ochild
01480001,50,01480001-50,3,1738,1745,Strippin. Stripping. Shrpping.,Dripping,NA,2.96,ochild
01480001,50,01480001-50,3,1745,1748,Shrpping.,Shrpping.,NA,2.96,ochild
01480001,50,01480001-50,3,1748,1750,Shh.,Shh.,NA,2.96,kchild
01480001,50,01480001-50,3,1750,1751,When it gets the top,When it gets the top,NA,2.96,tadult
01480001,50,01480001-50,3,1751,1767,Shh. Don't wash your hands in there. Why to stop? Don't get water out. He's doing my special soup. I made just for you.,Shh. Don't wash your hands in there. Eliza stop! Don't get water out. This is my special soup. I made just for you and me,proper name,2.96,ochild
01480001,50,01480001-50,4,2434,2435,"Oh, I have.","Oh, I have.",NA,2.96,ochild
01480001,50,01480001-50,4,2435,2438,But you want yours right here?,But you want yours right here?,NA,2.96,ochild
01480001,50,01480001-50,4,2438,2439,Here.,Here.,NA,2.96,ochild
01480001,50,01480001-50,4,2439,2444,Here.,Here.,NA,2.96,ochild
01480001,50,01480001-50,4,2444,2446,Here.,Here.,NA,2.96,ochild
01480001,50,01480001-50,4,2446,2449,On the next thing we tell them.,On the next to each other,NA,2.96,kchild
01480001,50,01480001-50,4,2449,2454,"Oh, now, should we do these,","Oh, now, should we do these,",NA,2.96,ochild
01480001,50,01480001-50,4,2454,2455,like that?,[name]?,proper name,2.96,ochild
01480001,50,01480001-50,4,2455,2458,I just show you play with these?,[name] should we play with these?,NA,2.96,ochild
01480001,50,01480001-50,4,2458,2460,There we go.,There we go.,NA,2.96,tadult
01480001,50,01480001-50,4,2460,2462,"You want to put these away,","You want to put these away,",NA,2.96,ochild
01480001,50,01480001-50,4,2462,2464,"either either, either either, right, here?","[name], right, here?",proper name,2.96,ochild
01480001,50,01480001-50,4,2464,2469,We can. Put mine right here.,We can. Put mine right here.,NA,2.96,kchild
01480001,50,01480001-50,5,2788,2791,do the snack blocks too and I know you like doing that job.,do the snack blocks too and I know you like doing that job.,NA,2.96,tadult
01480001,50,01480001-50,5,2793,2794,Thanks a [name].,Thanks a [name].,NA,2.96,tadult
01480001,50,01480001-50,5,2794,2795,We have plenty of time.,We have plenty of time.,NA,2.96,tadult
01480001,50,01480001-50,5,2795,2797,"Well, we have a lot of time, no rush.","Well, we have a lot of time, no rush.",NA,2.96,tadult
01480001,50,01480001-50,5,2798,2800,"Okay, now we did this table.","Okay, now we did this table.",NA,2.96,tadult
01480001,50,01480001-50,5,2801,2804,Now let's move to [name]'s table.,Now let's move to [name]'s table.,NA,2.96,tadult
01480001,50,01480001-50,5,2804,2805,"What are you here, right?","[name] you are here, right?",NA,2.96,tadult
01480001,50,01480001-50,5,2805,2806,Yeah.,Yeah.,NA,2.96,ochild
01480001,50,01480001-50,5,2806,2807,And [name]?,And [name]?,NA,2.96,tadult
01480001,50,01480001-50,5,2807,2812,"Oh, [name], I'm going to share you, [name].","Oh, [name], I hate to share you, [name].",NA,2.96,tadult
01480001,50,01480001-50,5,2812,2813,"Okay, here we go.","Okay, here we go.",NA,2.96,tadult
01480001,50,01480001-50,5,2813,2816,"Do, shoot.","Do, shoot.",NA,2.96,tadult
01480001,50,01480001-50,5,2816,2820,It makes how funny sound doesn't.,It makes a funny sound doesn't.,NA,2.96,tadult
01590001,21,01590001-21,1,3,5,"One, five, nine for one.","One, five, nine, one",NA,3.17,radult
01590001,21,01590001-21,1,67,69,"Do you and I are a good team anyway, right?","[name], you and I are a good team anyway, right?",NA,3.17,tadult
01590001,21,01590001-21,1,71,73,I brought Terrios today.,I brought Cherrios today,NA,3.17,kchild
01590001,21,01590001-21,1,76,78,Move the chair out and she can sit down.,Move the chair out so you can sit down,NA,3.17,tadult
01590001,21,01590001-21,1,78,84,Little sand.,It's a little sandy,NA,3.17,kchild
01590001,21,01590001-21,1,100,103,I'm... Bose.,oh...Bulldozer,NA,3.17,kchild
01590001,21,01590001-21,1,103,107,"Bose, older.","Boze, Bozer",NA,3.17,kchild
01590001,21,01590001-21,1,179,204,And there was two. [name]. No. Excavirus. Mommy's to the excavator.,"Oh there was two. oh. Excavator, going to the excavator",NA,3.17,kchild
01590001,21,01590001-21,1,242,243,What's... Let's look.,let's....let's push,NA,3.17,kchild
01590001,21,01590001-21,1,260,284,This is an extra. But guess what we're not totally through our treasure. Let's go on a These are the parts of the whole way now.,That's an excavtor.,NA,3.17,ochild
01590001,21,01590001-21,1,345,355,"Oh, it's not there. Oh, there you go. Good to know.","Oh, it's not there. Oh, there you go. Good to know.",NA,3.17,tadult
01590001,21,01590001-21,1,355,357,"Hi, [name], do you have?","Hi, [name], do you have?",NA,3.17,tadult
01590001,21,01590001-21,1,357,361,"Hi, [name], do you have a couple of pieces together.","Hi, [name], do you have a couple of pieces together.",NA,3.17,tadult
01590001,21,01590001-21,1,361,365,And then you have a couple of pieces. Okay. a little bit of,And then you have a couple of pieces. Okay. a little bit of,NA,3.17,tadult
01590001,21,01590001-21,1,365,366,a piece of the bed sugar.,a piece of the bed sugar.,NA,3.17,tadult
01590001,21,01590001-21,1,366,368,"Oh, it's hard to work.","Oh, it's hard to work.",NA,3.17,tadult
01590001,21,01590001-21,1,368,370,Okay.,Okay.,NA,3.17,tadult
01590001,21,01590001-21,1,370,372,Can you take the break for a minute?,Can you take the break for a minute?,NA,3.17,tadult
01590001,21,01590001-21,1,372,373,You open it hard? Yeah. Okay.,You open it hard? Yeah. Okay.,NA,3.17,tadult
01590001,21,01590001-21,1,373,374,Yeah.,Yeah.,NA,3.17,kchild
